City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,sitka,57.0531,-135.33,278.09,81,100,6.17,US,1699932592
163,thompson,55.7435,-97.8558,270.24,93,75,1.54,CA,1699932512
164,bredasdorp,-34.5322,20.0403,287.98,79,16,7.99,ZA,1699932592
165,port mathurin,-19.6833,63.4167,300.2,83,20,2.06,MU,1699932592
166,borogontsy,62.6683,131.1683,251.38,97,100,1.18,RU,1699932593
167,anina,45.0794,21.8569,282.0,77,59,1.99,RO,1699932593
168,mandan,46.8267,-100.8896,281.25,64,0,4.12,US,1699932593
169,madisonville,37.3281,-87.4989,280.86,68,100,3.05,US,1699932593
170,college,64.8569,-147.8028,270.12,90,100,0.0,US,1699932594
171,tralee,52.2704,-9.7026,283.86,89,100,5.63,IE,1699932594
172,alofi,-19.0595,-169.9187,299.09,89,100,5.14,NU,1699932594
173,taroudant,30.4703,-8.877,296.07,23,0,2.51,MA,1699932594
174,iskateley,67.6803,53.1512,265.38,96,100,4.02,RU,1699932595
175,whitehorse,60.7161,-135.0538,268.58,85,100,2.57,CA,1699932595
176,nyurba,63.2842,118.3319,263.12,96,100,2.71,RU,1699932595
177,at taj,24.2049,23.2857,289.88,37,0,4.35,LY,1699932595
178,gubat,12.9206,124.1231,300.97,84,99,6.44,PH,1699932596
179,vredendal,-31.6683,18.5012,293.56,39,32,4.9,ZA,1699932596
180,zhezqazghan,47.7833,67.7667,272.47,93,20,5.0,KZ,1699932596
181,rouge,47.7837,-1.4476,285.97,89,100,6.42,FR,1699932596
182,quebrangulo,-9.3189,-36.4711,293.3,94,54,2.13,BR,1699932597
183,hastings,50.8552,0.5729,286.92,86,65,11.77,GB,1699932597
184,kendari,-3.945,122.4989,306.37,52,61,2.65,ID,1699932597
185,tangalle,6.024,80.7911,299.24,88,97,3.82,LK,1699932597
186,anloga,5.7947,0.8973,300.46,83,0,2.78,GH,1699932598
187,port augusta,-32.5,137.7667,300.84,31,65,6.53,AU,1699932598
188,uturoa,-16.7333,-151.4333,300.23,83,66,8.06,PF,1699932598
189,lorengau,-2.0226,147.2712,300.94,81,98,3.03,PG,1699932598
190,ceerigaabo,10.6162,47.368,289.43,52,55,1.99,SO,1699932599
191,puerto cabello,10.4731,-68.0125,300.7,83,97,2.62,VE,1699932599
192,mutum,-19.8,-41.4383,298.28,70,95,1.18,BR,1699932599
193,labuan,5.2767,115.2417,305.35,74,20,1.54,MY,1699932599
194,touros,-5.1989,-35.4608,299.56,80,84,5.04,BR,1699932599
195,petropavlovsk-kamchatsky,53.0452,158.6483,270.07,74,0,12.52,RU,1699932600
196,lebu,-37.6167,-73.65,282.5,89,35,2.82,CL,1699932600
197,ust-tsilma,65.441,52.1498,267.93,95,100,1.34,RU,1699932600
198,dudinka,69.4058,86.1778,248.24,95,17,1.44,RU,1699932601
199,tindouf,27.6711,-8.1474,291.4,34,0,3.09,DZ,1699932601
200,ad dilam,23.9915,47.1627,294.38,45,100,2.38,SA,1699932601
201,havsa,41.549,26.8221,281.69,79,24,1.91,TR,1699932602
202,fort bragg,35.139,-79.006,281.93,85,0,0.0,US,1699932604
203,vodnyy,63.5046,53.4095,272.82,98,100,3.25,RU,1699932605
204,giyani,-23.3025,30.7187,290.7,84,99,5.24,ZA,1699932605
205,kurchatov,51.6601,35.6521,276.38,90,54,4.35,RU,1699932606
206,puerto san carlos,51.6601,35.6521,276.38,90,54,4.35,RU,1699932606
207,levuka,50.1834,-105.4011,278.99,58,19,6.08,CA,1699932606
208,san vicente de canete,-13.0751,-76.3835,292.41,88,52,1.0,PE,1699932606
209,gagarin,55.5529,34.9954,275.27,97,100,5.49,RU,1699932607
210,kenora,49.8167,-94.4337,274.69,80,75,3.6,CA,1699932607
211,whangarei,-35.7317,174.3239,287.77,85,99,2.13,NZ,1699932607
212,lihue,21.9789,-159.3672,300.73,75,40,7.2,US,1699932608
213,island harbour,50.724,-1.2758,287.55,86,85,3.13,GB,1699932608
214,estancia,-11.2683,-37.4383,294.31,92,22,1.6,BR,1699932609
215,katsuura,35.1333,140.3,287.7,44,16,2.09,JP,1699932609
216,egilsstadir,65.2653,-14.3948,275.1,93,75,1.03,IS,1699932609
217,murray bridge,-35.1167,139.2667,291.0,63,97,3.27,AU,1699932610
218,czarnkow,52.9021,16.5641,281.03,79,92,6.96,PL,1699932610
219,broken hill,-31.95,141.4333,300.84,21,67,3.98,AU,1699932610
220,leer,53.2316,7.461,284.79,88,79,2.24,DE,1699932610
221,usinsk,65.9939,57.5281,265.97,83,100,2.24,RU,1699932611
222,georgetown,5.4112,100.3354,303.11,79,20,2.57,MY,1699932447
223,sao felix do xingu,-6.6447,-51.995,299.13,53,0,0.64,BR,1699932546
224,nadym,65.5333,72.5167,259.76,92,100,5.15,RU,1699932612
225,agat village,13.3886,144.6585,305.67,77,20,10.29,GU,1699932612
226,morristown,36.214,-83.2949,285.07,51,20,0.0,US,1699932612
227,poxoreo,-15.8372,-54.3892,298.76,43,43,1.8,BR,1699932612
228,sumbe,-11.2061,13.8437,298.46,90,100,1.54,AO,1699932613
229,kayyerkan,69.3786,87.7439,250.7,92,46,2.11,RU,1699932613
230,vadso,70.0744,29.7487,268.24,86,100,6.17,NO,1699932613
231,cabo san lucas,22.8909,-109.9124,300.79,63,0,4.63,MX,1699932614
232,sandnessjoen,66.0217,12.6316,261.44,63,28,4.34,NO,1699932614
233,freeport,40.6576,-73.5832,282.14,72,40,5.14,US,1699932393
234,mugia,43.1041,-9.2179,291.99,93,100,13.2,ES,1699932614
235,mulayjah,27.271,48.4242,295.19,58,2,1.55,SA,1699932615
236,vila velha,-20.3297,-40.2925,299.12,87,0,6.17,BR,1699932616
237,altai,46.3722,96.2583,265.15,86,100,4.03,MN,1699932617
238,aasiaat,68.7098,-52.8699,261.98,82,100,1.29,GL,1699932617
239,pelabuhanratu,-6.9875,106.5514,303.28,71,98,1.76,ID,1699932618
240,anse a galets,18.8317,-72.8642,301.11,74,4,1.56,HT,1699932618
241,jamestown,42.097,-79.2353,280.77,73,20,6.17,US,1699932322
242,volnovakha,47.601,37.4967,278.54,79,100,1.77,UA,1699932618
243,rojhan,28.6868,69.9534,296.69,31,55,2.39,PK,1699932619
244,lompoc,34.6391,-120.4579,287.33,82,0,3.09,US,1699932619
245,omaruru,-21.4333,15.9333,296.47,44,77,1.36,NA,1699932620
246,ambon,-3.6954,128.1814,305.23,62,20,4.12,ID,1699932620
247,brookings,44.3114,-96.7984,285.03,42,0,7.72,US,1699932621
248,utrik,11.2278,169.8474,301.12,81,100,8.3,MH,1699932621
249,corn island,12.1694,-83.0418,301.4,75,100,4.79,NI,1699932622
250,vorgashor,67.5833,63.95,260.76,88,100,3.89,RU,1699932622
251,bodo,67.28,14.405,270.25,52,0,7.72,NO,1699932622
252,new norfolk,-42.7826,147.0587,290.21,29,4,2.73,AU,1699932623
253,cannonvale,-20.2833,148.7,299.81,52,0,4.18,AU,1699932623
254,maiduguri,11.8464,13.1603,298.15,26,99,3.2,NG,1699932608
255,cidreira,-30.1811,-50.2056,293.26,96,100,2.06,BR,1699932624
256,namibe,-15.1961,12.1522,295.59,67,97,2.16,AO,1699932624
257,ilheus,-14.7889,-39.0494,295.03,90,22,2.1,BR,1699932624
258,mhamid,29.82,-5.72,292.12,32,55,0.66,MA,1699932625
259,vydrino,51.485,104.8461,275.35,66,100,0.81,RU,1699932625
260,mata-utu,-13.2816,-176.1745,302.33,74,67,5.15,WF,1699932625
261,nova vicosa,-17.8919,-39.3719,297.45,83,48,6.45,BR,1699932626
262,isangel,-19.55,169.2667,300.21,69,75,6.17,VU,1699932548
